beta_3,beta_4,sigma_3,sigma_4,time
-5.933693339664362e-15,-6.153002116267331e-15,1.5835557304948233e-13,1.5836155030524833e-13,7991453.943486626
1.3457193140094617e-14,-9.651971263356146e-15,1.3058805883974234e-13,1.3060335220188965e-13,7992578.271844152
-7.083871688000571e-15,6.917907595608351e-17,1.2638415582334082e-13,1.2637942986043205e-13,7993703.143143653
-6.2769787641840306e-15,1.6847929409028465e-16,1.1338618048038864e-13,1.1339302550877622e-13,7994828.056026358
-7.377469024484208e-15,9.712289805248225e-15,1.2058902686587466e-13,1.205936129128866e-13,7995952.996723248
2.797453426621259e-15,-2.040694971293709e-16,1.0107021073212256e-13,1.010715425506076e-13,7997077.943751281
6.168073908590074e-15,1.964041051290746e-14,1.2104525450094774e-13,1.2104315523538496e-13,7998202.8935102755
6.2115623654606016e-15,1.4313714115130994e-14,1.7104154372623717e-13,1.7104297111816381e-13,7999327.831452052
1.8909016388152725e-14,1.0482851110085435e-14,1.0822915113073723e-13,1.0822681794067001e-13,8000452.795376843
9.724709042079576e-15,-4.221698573435364e-15,1.1229074547103877e-13,1.1229140230679143e-13,8001577.703390765
9.28947739251673e-16,-7.98298958862711e-15,1.2360592707186538e-13,1.23616423702031e-13,8002702.655790628
-6.9838095513733085e-15,2.835346839853773e-15,1.4477352484269585e-13,1.4477023536937165e-13,8003827.579032208
1.0549666878478394e-14,-7.235542978517188e-15,1.4580855966448296e-13,1.4580941746150903e-13,8004952.541691569
-1.6877209992088531e-15,-4.977520735001131e-15,1.0048401789012638e-13,1.0048225600445664e-13,8006077.476940972
1.7311163922386307e-14,1.0565507578316242e-14,1.2588336083106228e-13,1.2588888412748737e-13,8007202.403357268
-6.177728429368721e-15,-1.9663823271626758e-15,1.2897886917081693e-13,1.289954293910892e-13,8008327.548675412
2.7632000925828083e-15,-1.4405502712015564e-14,1.2449580917904536e-13,1.2449974873198001e-13,8009452.270206585
-2.3437980303452674e-14,-6.742364354387544e-15,1.4073163193199532e-13,1.4071734983226807e-13,8010577.194903949
-7.723995548515571e-15,9.55440203185649e-15,1.2442791236196448e-13,1.2441959267524743e-13,8011702.151780552
6.675550329486004e-15,-1.0973915273784177e-16,1.23839111540776e-13,1.238364941948702e-13,8012827.14310867
-2.558404442749727e-15,4.4207354451313976e-15,1.0695928484769145e-13,1.0695587961854865e-13,8013952.1069567185
-1.413750895190164e-15,6.9459158844159974e-15,1.1374459539016214e-13,1.1374969226401584e-13,8015077.039230628
-1.8481726965758453e-14,5.951644550802393e-15,1.6560930033650652e-13,1.656086991576926e-13,8016201.930862095
-1.3831292104736795e-14,1.7653404965639429e-15,1.421906368393396e-13,1.4218509372427164e-13,8017326.888820585
-5.665588206258111e-15,-5.150498041486919e-15,1.1653611428358402e-13,1.1654148626534456e-13,8018451.81386075
1.488517028849964e-14,-1.780243739254053e-17,1.2333865320539648e-13,1.23336233445251e-13,8019576.774854127
-1.0041282723108185e-14,8.501903875816929e-15,1.1534713873629092e-13,1.1534488253298147e-13,8020701.690273653
-1.7088258349670135e-15,3.2261423890711794e-15,1.0582168673614573e-13,1.0581689235392577e-13,8021826.60608042
1.5887129780534887e-14,-1.0393652817896987e-14,1.2660532159074146e-13,1.26623878106527e-13,8022951.548214498
-1.7777176095538482e-14,1.1369560354554003e-15,1.2515611154670423e-13,1.2515488398223524e-13,8024076.506237506
-9.791913418480365e-15,1.0594033589807355e-14,1.5944868824504138e-13,1.5943691454119452e-13,8025201.485751981
4.210922742322441e-15,3.4054858293938385e-15,1.5390904249309982e-13,1.53900085174925e-13,8026326.391592363
1.6922401639182635e-14,9.234605988826742e-15,1.2186585545300113e-13,1.218636485337139e-13,8027451.325853923
-6.848642321859473e-15,8.947838596594027e-15,1.4085339899821682e-13,1.4085615075257703e-13,8028576.280236482
1.1402182450333231e-14,7.376510555877744e-15,1.6565078959788551e-13,1.656501961875332e-13,8029701.211159922
-7.77669131507443e-15,-1.0046155309472257e-14,1.1944883915494614e-13,1.194453254696219e-13,8030826.146612568
-2.8843016455409192e-15,-6.657840057536281e-15,1.292741265560059e-13,1.292735269259467e-13,8031950.909512312
9.993380426449686e-15,8.084907444901862e-15,1.3060155598315406e-13,1.3060894727593615e-13,8033076.269488849
7.809368351458164e-16,1.6926819773761084e-14,1.4319169871416313e-13,1.4319329048280831e-13,8034200.957649549
-1.570518309329837e-15,-2.9773089126256336e-15,1.3491096739037446e-13,1.3491572536288427e-13,8035325.81929808
-2.302058037619004e-14,-1.0380523072758476e-14,1.25683898490343e-13,1.2569714058653158e-13,8036450.906304816
-6.020585218950179e-17,1.0653932555514917e-14,1.450372044666861e-13,1.450403969068526e-13,8037575.800953363
-4.224503823513189e-15,-4.892974808881392e-16,1.4326195793601694e-13,1.43266754674921e-13,8038700.787125157
1.4609848025169638e-14,7.7128482168811e-15,1.169853513066679e-13,1.169859303590268e-13,8039825.659960403
