Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,6.295690569020842e-16,8.917799395004661e-16,8.866865180174725e-16,8.871353012986281e-16,8.933969192202787e-16,7.177007849189836e-16,1.0166178841506042e-15,1.010811447896803e-15,1.0113230551773906e-15,1.0184612206382932e-15
1,6.283714342590312e-16,8.884711721801248e-16,8.894382447489663e-16,8.888160313915868e-16,8.87848599183444e-16,7.163233590062208e-16,1.0128287502227658e-15,1.0139311820539201e-15,1.01322187870581e-15,1.0121190368973426e-15
2,6.282557921397977e-16,8.882701401775841e-16,8.893110621228433e-16,8.887030170251472e-16,8.876614822158061e-16,7.1630433571351555e-16,1.0127590714714404e-15,1.0139458761326262e-15,1.0132526149717451e-15,1.0120651115550452e-15
3,6.280779072391165e-16,8.882067361664215e-16,8.884632012605146e-16,8.882659412698875e-16,8.880096683546752e-16,7.161754685133711e-16,1.0127913561024907e-15,1.013083794360233e-15,1.0128588656299307e-15,1.0125666465071052e-15
4,6.281866472656356e-16,8.883034072319045e-16,8.886179241957163e-16,8.88476576072203e-16,8.881621080477702e-16,7.162215406420514e-16,1.012791401495971e-15,1.0131499952759563e-15,1.0129888384426645e-15,1.0126303004604863e-15
5,6.283145420613001e-16,8.884520595122273e-16,8.885755128070339e-16,8.886899099007235e-16,8.885664133356715e-16,7.163720118035469e-16,1.0129674655877752e-15,1.0131082207020437e-15,1.0132386504003316e-15,1.0130978459515489e-15
6,6.284174028271356e-16,8.8870198453334e-16,8.885898455853959e-16,8.887305354387004e-16,8.88842877913822e-16,7.162478017199402e-16,1.0129109091226886e-15,1.0127830971388215e-15,1.0129434504290076e-15,1.0130714943859123e-15
7,6.2810709339475e-16,8.882982281713569e-16,8.883306530578472e-16,8.882565197659994e-16,8.882244258126956e-16,7.162224775613483e-16,1.0129150975761976e-15,1.0129520712591585e-15,1.01286753801552e-15,1.012830941691435e-15
8,6.279639741083301e-16,8.88033150364183e-16,8.880767726414494e-16,8.881169120449676e-16,8.880736307763255e-16,7.162374372628061e-16,1.012864772576165e-15,1.0129145268763559e-15,1.0129603087120893e-15,1.0129109433564132e-15
9,6.282644772171516e-16,8.884362379604676e-16,8.88534246323026e-16,8.885638146818077e-16,8.884659785337335e-16,7.161490875016521e-16,1.0127149062080057e-15,1.0128266244444474e-15,1.0128603289652797e-15,1.0127488070334998e-15
10,6.284538898111199e-16,8.887266325677606e-16,8.8885626009714e-16,8.888093416741656e-16,8.886797473172636e-16,7.163079980619191e-16,1.012965319047118e-15,1.0131130677325328e-15,1.0130595903936574e-15,1.0129118795180346e-15
11,6.282792351356597e-16,8.885056787918192e-16,8.884995669054993e-16,8.88536350684689e-16,8.88542462529543e-16,7.162641746446524e-16,1.0129330257898702e-15,1.0129260579880304e-15,1.0129679930095435e-15,1.0129749607641105e-15
12,6.281983020563864e-16,8.884188591727894e-16,8.884463553594728e-16,8.883942081203019e-16,8.883667420092379e-16,7.161194869248885e-16,1.0127599127896192e-15,1.0127912572791468e-15,1.0127318116327047e-15,1.0127005014281108e-15
13,6.280805812250226e-16,8.882261425724848e-16,8.883107613769907e-16,8.882539156009896e-16,8.881693606631882e-16,7.159178740986294e-16,1.0124448848092892e-15,1.0125413375837285e-15,1.0124765419057172e-15,1.0123801619297637e-15
14,6.283687944126656e-16,8.8859603317045e-16,8.88684322356756e-16,8.886992606176437e-16,8.886110091819099e-16,7.163375537555751e-16,1.0129954166059363e-15,1.0130960658748112e-15,1.0131130954239499e-15,1.0130124891905548e-15
