Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,2.4444371188395403e-15,8.24624444056012e-16,3.7901794653009726e-16,9.54162067138682e-16,4.129991729841959e-16,4.1531835490819835e-16,4.822528204284744e-16,8.171401553878789e-16,4.640303430138545e-16,7.02327672761784e-16,6.181738556349668e-16,2.310400352026726e-16
1,2.430483981157373e-15,8.121188215590754e-16,3.795556235590845e-16,9.208667970792207e-16,4.165877781843352e-16,4.1397923511394106e-16,4.863436819197399e-16,7.887875740149244e-16,4.592960581033164e-16,7.068680947942624e-16,6.04227461309753e-16,2.297212312144538e-16
2,2.429426228727396e-15,8.11759696313851e-16,3.798486042414689e-16,9.188146604745858e-16,4.1716653861313664e-16,4.141330281555607e-16,4.870004129769486e-16,7.870603829556304e-16,4.591710477874481e-16,7.062267236827627e-16,6.043438880475178e-16,2.2962125598630253e-16
3,2.4293920353087194e-15,8.118913018034633e-16,3.7971784610200174e-16,9.196142897728086e-16,4.169187207597217e-16,4.140641933719735e-16,4.867362021936766e-16,7.877047393566984e-16,4.593029703564375e-16,7.056515563468232e-16,6.050064911262978e-16,2.2961802413853114e-16
4,2.429921855368989e-15,8.118671834319618e-16,3.800425968184309e-16,9.187304393365048e-16,4.1743144732000634e-16,4.1426154989981606e-16,4.871749569715616e-16,7.872058518220785e-16,4.593464377951926e-16,7.059116922622054e-16,6.04941973769773e-16,2.296681009617115e-16
5,2.4300287792972255e-15,8.1215359096406695e-16,3.80063328331753e-16,9.187748816829293e-16,4.1745475070707377e-16,4.1439436281224665e-16,4.874939055165901e-16,7.867727880257894e-16,4.593351689731856e-16,7.063198460657505e-16,6.046597833038534e-16,2.2967820705442034e-16
6,2.429802208131969e-15,8.120079771063058e-16,3.797706942854736e-16,9.19611748223793e-16,4.1698891288720586e-16,4.1413686276918546e-16,4.868774118966816e-16,7.876066825041303e-16,4.592943538064072e-16,7.061849082210764e-16,6.046513488787427e-16,2.29656792304336e-16
7,2.4302029078586767e-15,8.121135097676744e-16,3.7986557337072865e-16,9.197567653886104e-16,4.1710099123494837e-16,4.142045941409919e-16,4.869271280252913e-16,7.878621593634299e-16,4.594260858002838e-16,7.059964362749436e-16,6.050705697816573e-16,2.2969466510468366e-16
8,2.430312389707218e-15,8.12066181525443e-16,3.7994350035058904e-16,9.194041260666858e-16,4.1723709532103925e-16,4.1424753396851405e-16,4.870573110605533e-16,7.876065060001747e-16,4.593814009926157e-16,7.062812463470167e-16,6.047894875100307e-16,2.297050129634795e-16
9,2.430006002006439e-15,8.119406463210767e-16,3.798912632406407e-16,9.194140049466022e-16,4.1716699699888107e-16,4.141703794904041e-16,4.869017394505509e-16,7.87734255940651e-16,4.59379469320063e-16,7.058931540099613e-16,6.050291000725248e-16,2.29676054220942e-16
10,2.4296140535053568e-15,8.117909115794894e-16,3.79823175938357e-16,9.191628960328256e-16,4.1710029376183213e-16,4.1410300047057754e-16,4.868549485268396e-16,7.874688654399753e-16,4.592505232372082e-16,7.060379289311591e-16,6.046436197027081e-16,2.296390085572226e-16
11,2.429849628687816e-15,8.12047613805784e-16,3.798333049862618e-16,9.19509659818439e-16,4.1708132401422504e-16,4.141881853348797e-16,4.869791107114788e-16,7.875292757437457e-16,4.593371521432935e-16,7.060503176761128e-16,6.048335748995787e-16,2.2966127433695115e-16
12,2.430363829595707e-15,8.121220615605011e-16,3.799321128831128e-16,9.195569229571568e-16,4.172077401767928e-16,4.1425325709235034e-16,4.87043480042584e-16,7.877043457338489e-16,4.594144445121849e-16,7.062144034260078e-16,6.049068904268447e-16,2.2970987488999656e-16
13,2.4300879899676594e-15,8.121359823795899e-16,3.799963807413941e-16,9.191458952899079e-16,4.173312875678335e-16,4.1432482377580686e-16,4.872776033516804e-16,7.872069992660447e-16,4.593844856192894e-16,7.061155166934667e-16,6.049006525217607e-16,2.296838034493024e-16
14,2.430041376721726e-15,8.120274396368368e-16,3.7993637248015165e-16,9.191927335858863e-16,4.172474196063124e-16,4.142488354327022e-16,4.871226793938604e-16,7.873392318477579e-16,4.593327080024373e-16,7.062362327334519e-16,6.047066414367787e-16,2.2967939772092496e-16
15,2.4299071002562912e-15,8.120068003780469e-16,3.7980008493160863e-16,9.196500203061877e-16,4.170242510989174e-16,4.141430865785905e-16,4.868557400988569e-16,7.877412740649181e-16,4.593413225973577e-16,7.060478509465015e-16,6.048446470633486e-16,2.2966670635772245e-16
16,2.4302926729900915e-15,8.121316289137426e-16,3.79901429906196e-16,9.196494970942083e-16,4.1715847033597166e-16,4.1423689244132696e-16,4.870056836698882e-16,7.877517456513129e-16,4.594175520189836e-16,7.061400827749022e-16,6.049607036768549e-16,2.2970314940520513e-16
