Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,2.3729563337521547e-15,3.378201794824581e-15,3.2722881432152907e-15,3.2869200541532858e-15,3.4295626959583646e-15,2.0321892622556532e-15,2.8930770092680197e-15,2.802373028556183e-15,2.814903732080532e-15,2.9370622568257823e-15
1,2.336969896137405e-15,3.301312025069148e-15,3.300046358380337e-15,3.3081694008779943e-15,3.3098888794439308e-15,2.001780084553913e-15,2.827807356699135e-15,2.8267232236191445e-15,2.8336811843205944e-15,2.83515403938595e-15
2,2.3359364699136155e-15,3.30181973041902e-15,3.3045025547170962e-15,3.3051677598345006e-15,3.3025128461801355e-15,2.000972700653906e-15,2.8283522382324142e-15,2.8306503564604753e-15,2.8312201738752057e-15,2.8289459640183023e-15
3,2.3363151805889814e-15,3.305610256556643e-15,3.302709773468783e-15,3.3024759549629096e-15,3.305386968833118e-15,2.0011939362486372e-15,2.831453245685277e-15,2.828968808133425e-15,2.828768528573533e-15,2.8312619863714353e-15
4,2.336245777064957e-15,3.304173709469811e-15,3.3056869091051825e-15,3.3036934008791626e-15,3.302210128556661e-15,2.001791024066136e-15,2.831151302018201e-15,2.832447873413832e-15,2.830739753954645e-15,2.8294688255058583e-15
5,2.3370699492954095e-15,3.3046101123386032e-15,3.307851109080759e-15,3.3056035761065976e-15,3.302369868519784e-15,2.0012987691287286e-15,2.829830639971845e-15,2.832605996692675e-15,2.8306813709551688e-15,2.8279122561431954e-15
6,2.3366509278504996e-15,3.304072019170177e-15,3.303667940673361e-15,3.304972061893325e-15,3.305377833695604e-15,2.0012379017657643e-15,2.8297911665435345e-15,2.829445091229726e-15,2.8305620132238426e-15,2.8309095387786912e-15
7,2.3369546108167485e-15,3.30581190375727e-15,3.304005285508445e-15,3.3040900060618163e-15,3.3058990716234786e-15,2.0018315442718977e-15,2.8317531362143174e-15,2.8302055899409686e-15,2.8302781614301203e-15,2.831827804067692e-15
8,2.336818418089286e-15,3.304081471988288e-15,3.3048886321363763e-15,3.305422927963983e-15,3.304631573464358e-15,2.0018328580947265e-15,2.8304376605591382e-15,2.8311291133881983e-15,2.831586817305356e-15,2.8309089043671978e-15
9,2.336457175392132e-15,3.3048899837246525e-15,3.3038330133545522e-15,3.3036066411579763e-15,3.3046670813085765e-15,2.0018265380910847e-15,2.8315590564081613e-15,2.8306534668004734e-15,2.8304595159438665e-15,2.8313680783852787e-15
10,2.3360262956068026e-15,3.302995088734526e-15,3.303515517264567e-15,3.3042841932611882e-15,3.303764515808469e-15,2.001329671355383e-15,2.8297549937075557e-15,2.8302008572926317e-15,2.8308594004274373e-15,2.8304141803082902e-15
11,2.3367649872356583e-15,3.3050256969370566e-15,3.3043580098896375e-15,3.3043421730558247e-15,3.3050108954167208e-15,2.0013610714480256e-15,2.830643991208578e-15,2.8300721395795465e-15,2.8300585758609608e-15,2.8306313142013653e-15
12,2.3369792196324335e-15,3.304861539100564e-15,3.304794782864392e-15,3.305110100567224e-15,3.305180774206732e-15,2.001886605642937e-15,2.8309871106472643e-15,2.8309299263925166e-15,2.831200031612331e-15,2.8312605715654105e-15
13,2.3370192784689933e-15,3.3054372631207432e-15,3.3063834079505568e-15,3.3046473069213447e-15,3.3037034097178767e-15,2.001551595734655e-15,2.8309579170156995e-15,2.83176824738454e-15,2.8302813551635858e-15,2.8294729497853258e-15
14,2.336706933630376e-15,3.303990495190473e-15,3.3053321837610873e-15,3.3052122625511366e-15,3.3038717614876255e-15,2.001518261573558e-15,2.8300499378050157e-15,2.8311991680044814e-15,2.8310964488794547e-15,2.829948235845265e-15
15,2.3366475416729553e-15,3.3047011046142845e-15,3.3035208884135095e-15,3.3043306286680096e-15,3.3055153957624674e-15,2.001493688767907e-15,2.8306958093535123e-15,2.829684875853657e-15,2.830378472119255e-15,2.8313933037615655e-15
16,2.3370067508457455e-15,3.3052893870278642e-15,3.3045383185846823e-15,3.3047622771109784e-15,3.305513515171791e-15,2.0018291244594135e-15,2.831238958691272e-15,2.8305956098077143e-15,2.8307874478075178e-15,2.8314309419818467e-15
17,2.3368119463892277e-15,3.3046146938782968e-15,3.305032654998492e-15,3.3048867894607443e-15,3.304469685065162e-15,2.0016318961252397e-15,2.830618093121126e-15,2.8309761040902225e-15,2.8308511607402233e-15,2.830493883611654e-15
18,2.3367574587616223e-15,3.3045060212308467e-15,3.3046079760435327e-15,3.304842014606087e-15,3.304740147232647e-15,2.0017562160786777e-15,2.8307668150437082e-15,2.8308541534533012e-15,2.831054639877615e-15,2.830967376371839e-15
19,2.337025462981641e-15,3.3051852991056696e-15,3.3048378169788156e-15,3.3049166880233854e-15,3.3052683171371426e-15,2.0019200699897483e-15,2.8312557522898874e-15,2.830958095522886e-15,2.831025657271598e-15,2.8313268663902723e-15
20,2.3367320862645204e-15,3.304712944658754e-15,3.30444369931504e-15,3.304561333804664e-15,3.3048326358355382e-15,2.0016225050798492e-15,2.8307857121232937e-15,2.830555079119821e-15,2.8306558437060517e-15,2.830888238448206e-15
21,2.3369126544002336e-15,3.3048935300972276e-15,3.3050819078700492e-15,3.304892513379038e-15,3.304704826510082e-15,2.0017021474745945e-15,2.8308342906672966e-15,2.830995647229633e-15,2.830833419788798e-15,2.830672655025967e-15
22,2.3369872511189466e-15,3.3049296409414025e-15,3.3058665465935764e-15,3.3050670377689992e-15,3.3041306078925386e-15,2.001776877925841e-15,2.8308805429899744e-15,2.8316830617330364e-15,2.830998232032759e-15,2.830196120821583e-15
23,2.3369292429630318e-15,3.3048995116621775e-15,3.3049092717150018e-15,3.3049335880429327e-15,3.3049245988853668e-15,2.0017689004849317e-15,2.830913722182319e-15,2.830922082456927e-15,2.830942911358432e-15,2.8309352114179604e-15
24,2.3369942037910523e-15,3.3049032136178916e-15,3.304218100985397e-15,3.305111794090186e-15,3.305798797021993e-15,2.0018178242679373e-15,2.8309073894015494e-15,2.8303205369921027e-15,2.83108605484563e-15,2.831674526443884e-15
25,2.336989063905584e-15,3.30532011862975e-15,3.3050015945910328e-15,3.3046820882956083e-15,3.305001232200186e-15,2.0017300259056907e-15,2.831146550439585e-15,2.830873721121673e-15,2.830600050459326e-15,2.8308734107185777e-15
26,2.3369908113963473e-15,3.304735399082285e-15,3.3051962031705058e-15,3.305270302902846e-15,3.304811869883006e-15,2.001741591221348e-15,2.8306599512780735e-15,2.8310546514644403e-15,2.83111812134006e-15,2.830725452084311e-15
27,2.336896845251234e-15,3.3048716269364327e-15,3.3047280859314206e-15,3.3048702098097255e-15,3.305014086536254e-15,2.001620020382332e-15,2.8307185345865456e-15,2.8305955875467726e-15,2.8307173207763615e-15,2.830840555371364e-15
28,2.337061858970742e-15,3.3051106700639467e-15,3.3050618506895668e-15,3.3050980174017154e-15,3.3051473305626962e-15,2.00180636696312e-15,2.830986932355128e-15,2.830945116202898e-15,2.8309760947387778e-15,2.831018333843082e-15
29,2.337025658575671e-15,3.3052581112421e-15,3.3050830122158313e-15,3.3048487981378594e-15,3.3050238555477916e-15,2.0018096658931055e-15,2.8311617423098945e-15,2.8310117589659003e-15,2.8308111398569694e-15,2.8309610875539498e-15
30,2.3367685512085418e-15,3.304484529702915e-15,3.3049543772043797e-15,3.3048930879587185e-15,3.3044249486232023e-15,2.0015816476380094e-15,2.830488105523463e-15,2.830890557933923e-15,2.830838060039234e-15,2.8304370707747983e-15
