Index,N_s,co,std
0,5,4.765247266724308e-16,9.528330188394877e-15
1,25,7.322563087332023e-17,2.879888139549831e-15
2,45,3.7241828460405155e-17,1.863173162736208e-15
3,65,1.1625144812999665e-16,1.3960216288638563e-15
4,85,-4.694460023391896e-17,1.9595404329520506e-15
5,105,-6.402913112906805e-16,4.453091706691501e-15
6,125,-3.7443454897901255e-16,9.508656262945341e-15
7,145,-1.6331354473678784e-15,1.7689077617598755e-14
