Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,1.6333503323623468e-16,2.3041029526266867e-16,2.2973748494639594e-16,2.3113498804343766e-16,2.321225559125016e-16,3.7929438405656066e-16,5.350556417100397e-16,5.334932507799292e-16,5.367385133908165e-16,5.39031830012419e-16
1,1.630131642981093e-16,2.308243204185756e-16,2.306614646900881e-16,2.3024394127445405e-16,2.304087454858319e-16,3.785462035132721e-16,5.360160361846083e-16,5.356378555756694e-16,5.346682902982471e-16,5.350509956386943e-16
2,1.630081575748485e-16,2.3037450051392376e-16,2.3054867709306094e-16,2.3068193703199637e-16,2.3050797403153045e-16,3.7853602661989886e-16,5.34973521303942e-16,5.353779925351843e-16,5.356874475253069e-16,5.352834722644675e-16
3,1.6301066859326762e-16,2.3051035405869696e-16,2.3054740317872734e-16,2.3054956236396744e-16,2.305153013056879e-16,3.7854142655624736e-16,5.352883894923707e-16,5.353744245161516e-16,5.35379438550313e-16,5.352998779302114e-16
4,1.6301045521102737e-16,2.306209203299901e-16,2.3050443199934873e-16,2.3043908622548725e-16,2.305586873081889e-16,3.7854020575773117e-16,5.355441190611811e-16,5.352736117701471e-16,5.351218668857414e-16,5.353996025585613e-16
5,1.6300942384873414e-16,2.3047477903329396e-16,2.3049392333848584e-16,2.3058342011530284e-16,2.305663306996172e-16,3.7853823251773044e-16,5.352053484719747e-16,5.352498051130634e-16,5.354576332920267e-16,5.354179484869666e-16
6,1.6300886772144762e-16,2.305306097287561e-16,2.306127753138165e-16,2.3052700005155947e-16,2.3044559091542445e-16,3.785362498848937e-16,5.353340202296226e-16,5.355248236679455e-16,5.35325637902401e-16,5.351365910761168e-16
7,1.6300805405919972e-16,2.305313050525618e-16,2.304880100951419e-16,2.3052507482120544e-16,2.305683792280084e-16,3.785345492983122e-16,5.35335902025623e-16,5.352353632069222e-16,5.3532143428762e-16,5.354219950495186e-16
8,1.630075272554472e-16,2.305428429868141e-16,2.3047278672929514e-16,2.305120200009826e-16,2.3058209988534346e-16,3.7853447415997534e-16,5.35364319124982e-16,5.352016351738293e-16,5.352927422908922e-16,5.354554811080645e-16
9,1.6300808024362974e-16,2.3051949859181745e-16,2.306203881965751e-16,2.305363918557091e-16,2.304358925923547e-16,3.785353099946208e-16,5.353094750201392e-16,5.355437595890705e-16,5.353487043446887e-16,5.351153262216457e-16
10,1.6300851160878948e-16,2.3050311178177496e-16,2.304975884719083e-16,2.3055402980056436e-16,2.305601351740956e-16,3.7853501689491927e-16,5.352695908422792e-16,5.352567647255748e-16,5.353878316194782e-16,5.354020093924669e-16
11,1.6300801184599228e-16,2.305690154710432e-16,2.304715864488797e-16,2.304867992550897e-16,2.305846375162446e-16,3.785346002260018e-16,5.354236832131511e-16,5.351974350948077e-16,5.352327620302865e-16,5.354599604768762e-16
