Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,2.393243849757082e-16,5.676044647830763e-17,4.9903954892115017e-17,6.458040205533996e-17,7.86234627294707e-17,3.3026301524522755e-17,3.3857516583084845e-17,1.4996772789262935e-16,4.5338008680288376e-17,4.938741909504318e-17,1.14327205240493e-16,2.262014183285491e-17
1,2.3930106037446825e-16,5.664687643812965e-17,4.976899875994859e-17,6.415224244275379e-17,7.887510898253061e-17,3.3116097098246986e-17,3.396594927409632e-17,1.4897316937362576e-16,4.5246711848715194e-17,4.9266399948395405e-17,1.1436566056269536e-16,2.2617937269419818e-17
2,2.3930852612454593e-16,5.664687623591297e-17,4.976862989736158e-17,6.41496552684742e-17,7.887844969800298e-17,3.3117282459323335e-17,3.396729463202292e-17,1.4896757045432156e-16,4.524521835930679e-17,4.926403213970182e-17,1.1437116436639982e-16,2.2618642907191177e-17
3,2.393116745423971e-16,5.664697716929657e-17,4.9768020917955575e-17,6.414571030783099e-17,7.888336024977791e-17,3.31192535424136e-17,3.396953669040819e-17,1.489578507003688e-16,4.524474728206176e-17,4.9263283720903647e-17,1.143729204978341e-16,2.2618940485134812e-17
4,2.3931194387620496e-16,5.6646649862118e-17,4.976712978580053e-17,6.414091398647071e-17,7.888873311795741e-17,3.312111671964717e-17,3.39716698338317e-17,1.4894750449921662e-16,4.5244296816041774e-17,4.9262627935201576e-17,1.1437385055344523e-16,2.26189659416671e-17
5,2.393138976473379e-16,5.664683673411215e-17,4.976766789462412e-17,6.414397241524654e-17,7.888518671495743e-17,3.3119903817425564e-17,3.3970284185039994e-17,1.4895398616783294e-16,4.5244226806935324e-17,4.926247488017812e-17,1.1437463508709195e-16,2.2619150605591504e-17
6,2.3931389635428187e-16,5.664659426996132e-17,4.9766649047945805e-17,6.413808102770064e-17,7.889208968373784e-17,3.3122382004287645e-17,3.397311307920173e-17,1.4894093540335335e-16,4.5243892562981704e-17,4.926199551834169e-17,1.1437523484579023e-16,2.261915048337617e-17
7,2.3931416214741293e-16,5.664631459892512e-17,4.976728133760238e-17,6.414266450331072e-17,7.888608011235591e-17,3.311994702274172e-17,3.397035025803972e-17,1.4895234615458822e-16,4.5243456075275355e-17,4.9261359883176196e-17,1.1437613880892619e-16,2.2619175605255507e-17
8,2.3931621652027824e-16,5.664655866123415e-17,4.976642369372022e-17,6.413671016081615e-17,7.889374329000585e-17,3.312298137295198e-17,3.3973796099034605e-17,1.4893787942162648e-16,4.524340146360213e-17,4.9261223687524564e-17,1.143769612160113e-16,2.261936977771978e-17
9,2.3931788736982473e-16,5.66467173577997e-17,4.9767393223160866e-17,6.414253011933696e-17,7.88867757003778e-17,3.3120445446667475e-17,3.397090504897108e-17,1.4895091488097165e-16,4.5243308382158996e-17,4.926104576683144e-17,1.1437768438324813e-16,2.261952770084043e-17
10,2.393189600784686e-16,5.664665573061448e-17,4.976633373276685e-17,6.413607110745828e-17,7.889457436239217e-17,3.3123383452865714e-17,3.397425271874087e-17,1.4893596257108694e-16,4.524301166189585e-17,4.9260596435140966e-17,1.143785147616685e-16,2.2619629089679984e-17
11,2.3932046955457612e-16,5.664665843433528e-17,4.976729002724638e-17,6.414196357019392e-17,7.888741865265946e-17,3.312064532688308e-17,3.397113383173885e-17,1.489498101072512e-16,4.524273916648073e-17,4.9260152944351544e-17,1.1437966353232097e-16,2.2619771760321964e-17
12,2.393220547477272e-16,5.664678518354435e-17,4.9766382078776205e-17,6.413600396581724e-17,7.889489195735157e-17,3.312355596048132e-17,3.397444352790683e-17,1.4893556974091727e-16,4.524260534531708e-17,4.925992052531838e-17,1.1438041079147514e-16,2.2619921587486103e-17
13,2.3932308352933016e-16,5.664679249018522e-17,4.976730222581916e-17,6.414176587875269e-17,7.888783501924078e-17,3.312088271245919e-17,3.3971399940180204e-17,1.4894897041028352e-16,4.524242997292592e-17,4.925963683199298e-17,1.143811285763164e-16,2.2620018824488408e-17
14,2.3932324904671254e-16,5.66465222910982e-17,4.976621471521799e-17,6.413559275198103e-17,7.88949905914115e-17,3.312346209983889e-17,3.3974346312674334e-17,1.489352271909493e-16,4.524202490564818e-17,4.925905699453487e-17,1.1438184229446063e-16,2.2620034468638774e-17
15,2.3932485053075077e-16,5.664656825981811e-17,4.976711276522792e-17,6.414106653995634e-17,7.888838149508553e-17,3.312096499433741e-17,3.3971501008353744e-17,1.4894793507833136e-16,4.5241790929300075e-17,4.9258669365533106e-17,1.1438291445839467e-16,2.2620185835563174e-17
16,2.39325610606586e-16,5.66464841134185e-17,4.9766208666417e-17,6.413552865547542e-17,7.889508580426356e-17,3.312345216595545e-17,3.3974334618132893e-17,1.4893530935186904e-16,4.524153569140592e-17,4.9258280455626806e-17,1.1438365912888346e-16,2.2620257675393446e-17
17,2.3932708705436367e-16,5.664678569865102e-17,4.976712016884748e-17,6.414073464567499e-17,7.88890284871851e-17,3.3121353955958276e-17,3.397193810042042e-17,1.4894646951535022e-16,4.524165230494511e-17,4.925841521708752e-17,1.14383856363954e-16,2.2620397224307958e-17
18,2.393274400634599e-16,5.664663632550245e-17,4.976632039676485e-17,6.413608054086352e-17,7.889450367086149e-17,3.3123357646298164e-17,3.39742247400465e-17,1.4893597367952481e-16,4.524137833720874e-17,4.925801633804017e-17,1.1438442321215914e-16,2.262043058954914e-17
19,2.393267600576785e-16,5.66463057906751e-17,4.976675685780386e-17,6.413965331985278e-17,7.888959331220098e-17,3.3121335455117716e-17,3.3971935123372154e-17,1.489450379324309e-16,4.524104934806836e-17,4.925756874418875e-17,1.1438471085396472e-16,2.2620366317673025e-17
20,2.393280541706282e-16,5.664662186076759e-17,4.9766355541518637e-17,6.41361727281686e-17,7.889447209762102e-17,3.312330138855542e-17,3.397415876814863e-17,1.489364173600828e-16,4.52412584428023e-17,4.925781542578363e-17,1.1438500130072002e-16,2.2620488632908362e-17
21,2.393292078136233e-16,5.664678096378617e-17,4.976694797455651e-17,6.413967776367178e-17,7.889030910671558e-17,3.3121840461741425e-17,3.397249232461596e-17,1.4894400317855984e-16,4.524124280948327e-17,4.925776911146142e-17,1.1438532859115465e-16,2.2620597671392578e-17
