Index,C_c_0,C_c_2ws,C_c_ws,C_s_2ws,C_s_ws,S_c_0,S_c_2ws,S_c_ws,S_s_2ws,S_s_ws
0,1.6333503323623468e-16,2.3041029526266867e-16,2.2973748494639594e-16,2.3113498804343766e-16,2.321225559125016e-16,3.7929438405656066e-16,5.350556417100397e-16,5.334932507799292e-16,5.367385133908165e-16,5.39031830012419e-16
1,1.630082217427028e-16,2.3048824846969696e-16,2.304732463439519e-16,2.3056861386300863e-16,2.305836137497253e-16,3.7853472462227466e-16,5.352356140714288e-16,5.352007764081689e-16,5.354222371245556e-16,5.354570695883845e-16
2,1.6300822116079993e-16,2.304987078247481e-16,2.3048237516312127e-16,2.3055753242882743e-16,2.305743146204654e-16,3.785357624881694e-16,5.35261372080791e-16,5.352234445672071e-16,5.353979738803792e-16,5.354369452872362e-16
3,1.6300851160878948e-16,2.30503111781775e-16,2.3049758847190813e-16,2.3055402980056426e-16,2.305601351740957e-16,3.7853501689491927e-16,5.352695908422793e-16,5.352567647255745e-16,5.353878316194781e-16,5.354020093924671e-16
4,1.6300756974289152e-16,2.305037609531127e-16,2.3051206274688767e-16,2.305509606986921e-16,2.3054289566585956e-16,3.78534841783e-16,5.352739435376924e-16,5.352932218951214e-16,5.353835503998355e-16,5.353648218467257e-16
5,1.6300810748960193e-16,2.3050630242434035e-16,2.305026605372588e-16,2.3055024439539735e-16,2.3055388863403455e-16,3.7853451343901263e-16,5.352776151848117e-16,5.352691580597298e-16,5.353796564445367e-16,5.35388119030359e-16
6,1.6300740976975315e-16,2.305065359688864e-16,2.305218557735161e-16,2.3054800096388457e-16,2.3053271310877454e-16,3.785344946366435e-16,5.352804220781886e-16,5.353159976051638e-16,5.353767117557493e-16,5.353412104216913e-16
7,1.6300660498260247e-16,2.3050717075444447e-16,2.3050310887034145e-16,2.305450261672852e-16,2.3054918758152036e-16,3.7853457505806615e-16,5.352846526598315e-16,5.352752201366952e-16,5.353725606474547e-16,5.353822242998528e-16
8,1.630073073013443e-16,2.3050981798613145e-16,2.305264903502485e-16,2.3054438876648783e-16,2.3052778577610214e-16,3.785345805673094e-16,5.352885015560741e-16,5.353272180189284e-16,5.353687816125866e-16,5.353302262489906e-16
9,1.630077639698594e-16,2.305120176550702e-16,2.3050687336006496e-16,2.305435560909192e-16,2.3054870456267144e-16,3.7853442218195796e-16,5.3529188600607575e-16,5.352799399938742e-16,5.353651241347384e-16,5.353770798461253e-16
