Index,N_s,co,std
0,5,7.20446652666649e-16,1.3132070622872111e-14
1,25,2.4171591268444047e-15,4.084936842132865e-15
2,45,1.7152183561461248e-15,2.6034549097182524e-15
3,65,1.949847433752794e-15,2.0292034799508284e-15
4,85,5.84582319199295e-15,2.2311279080819904e-15
5,105,-9.954378622497496e-15,4.713964529147191e-15
6,125,-2.6674434755844942e-14,1.0023057930275224e-14
7,145,6.186155754232992e-14,1.860723893922364e-14
