Index,c_T_M,c_T_Q,c_T_X,c_T_X_1,c_T_X_2,c_T_Y,c_T_Y_1,c_T_Y_2,c_T_Z,c_T_Z_1,c_T_Z_2,c_T_u
0,7.560621040808101e-16,2.1878111542063163e-16,1.2777691555030137e-16,2.4855806025156858e-16,1.4896813799247132e-16,1.1866424037825152e-16,1.3067525090552402e-16,2.8335305394184185e-16,1.4282374081715058e-16,1.8955729416010708e-16,2.172242892738776e-16,7.146046580456286e-17
1,7.551217712114376e-16,2.183506696600308e-16,1.2780826647858526e-16,2.471416125984965e-16,1.4932664315095154e-16,1.187864119559693e-16,1.310016758657673e-16,2.817126357227785e-16,1.4271437173274521e-16,1.897211544633759e-16,2.1659553027193645e-16,7.137158868124982e-17
2,7.55151581858522e-16,2.1837670179861833e-16,1.278138660012451e-16,2.471950441072866e-16,1.4932379103553627e-16,1.187902178899031e-16,1.310010673967433e-16,2.817694683319373e-16,1.4273983351077727e-16,1.898441737290611e-16,2.1650170244416288e-16,7.137440628408309e-17
3,7.550679539817461e-16,2.183714158608389e-16,1.2780990801590334e-16,2.471773747481539e-16,1.4932137462594151e-16,1.1879030318638417e-16,1.3100438081030526e-16,2.817376422493075e-16,1.427448642735423e-16,1.899469474519295e-16,2.1636707381246895e-16,7.136650205637957e-17
4,7.552097525845775e-16,2.1838796210983446e-16,1.2785900187645535e-16,2.4703341988082286e-16,1.494315048113825e-16,1.188496852642107e-16,1.3110046940299775e-16,2.815747025132266e-16,1.42740577596881e-16,1.8980271563055856e-16,2.1656583703563382e-16,7.13799043868946e-17
5,7.551127496809977e-16,2.1839102119628076e-16,1.2786107455670856e-16,2.4697749926245014e-16,1.4944719761841737e-16,1.188659606213946e-16,1.3113277838445952e-16,2.8147115918922765e-16,1.427433314045202e-16,1.8991176834305214e-16,2.1641376003047825e-16,7.137073599631294e-17
6,7.551417873941165e-16,2.1835141284755992e-16,1.2782807900366434e-16,2.4710217566573354e-16,1.4936695247893338e-16,1.1879956506064721e-16,1.310201995029476e-16,2.8170388283735076e-16,1.42725793936272e-16,1.8975971713947625e-16,2.1657809366744323e-16,7.137348054400837e-17
7,7.550690084971341e-16,2.1834440526249261e-16,1.2778896005177234e-16,2.4726206720683333e-16,1.492693262918194e-16,1.1874519530004017e-16,1.3092745643177966e-16,2.8190146815170125e-16,1.4273751923058413e-16,1.8988385182655017e-16,2.1643482676002909e-16,7.136660172565333e-17
8,7.551230196152635e-16,2.1835854566908522e-16,1.2780211451914485e-16,2.472440199637627e-16,1.4929426577151356e-16,1.1876261542131052e-16,1.3095384488050413e-16,2.818711772882258e-16,1.4274240690500222e-16,1.8986958075794786e-16,2.1647301197490686e-16,7.137170667621138e-17
9,7.546519780859611e-16,2.1819921321246946e-16,1.277612482942614e-16,2.4695689693815486e-16,1.4929241501101885e-16,1.1871499494994512e-16,1.309147595514487e-16,2.816244071627021e-16,1.4265960087592816e-16,1.897634527808318e-16,2.1634148164261968e-16,7.132718540353345e-17
10,7.548515761776211e-16,2.1826292701390072e-16,1.2778206350975843e-16,2.4705923638455626e-16,1.4930302460484106e-16,1.187382874335645e-16,1.309370892484404e-16,2.8171308420326763e-16,1.4269334281783768e-16,1.8979888194644321e-16,2.1640666167889123e-16,7.134605074875672e-17
11,7.548326670577259e-16,2.1825813838423223e-16,1.27751047605187e-16,2.4716392550057843e-16,1.4923049484561186e-16,1.187011452521284e-16,1.3087583191400346e-16,2.81827396021226e-16,1.4268827461995077e-16,1.897870040709293e-16,2.1640658989278712e-16,7.134426352187633e-17
12,7.550443803749236e-16,2.1831668421201502e-16,1.2778673146412244e-16,2.4723351214440506e-16,1.4927205780973184e-16,1.1873244791916747e-16,1.3090917090543186e-16,2.8191344320699036e-16,1.4272768595898783e-16,1.8983476271258118e-16,2.1647327441027988e-16,7.136427395776819e-17
13,7.551397634017799e-16,2.1838391586450186e-16,1.2781767944386595e-16,2.472061770586873e-16,1.4932741797603146e-16,1.187935720150802e-16,1.3100430194435505e-16,2.8178204516962496e-16,1.427535207601951e-16,1.8993317371981442e-16,2.1641759492815702e-16,7.137328924301025e-17
14,7.548614093011293e-16,2.1831673883674454e-16,1.27771919541209e-16,2.4708211346861517e-16,1.4928179798170187e-16,1.1876775193555478e-16,1.3098930202135188e-16,2.815868286839282e-16,1.426945337667143e-16,1.8984216620358372e-16,2.1634670326838526e-16,7.134698014276075e-17
15,7.545439842684801e-16,2.1817237944244984e-16,1.2773139332482076e-16,2.4697412421798616e-16,1.492409836309563e-16,1.186850778630523e-16,1.3087350013789006e-16,2.8163578715974945e-16,1.4264168207224632e-16,1.8975310345094464e-16,2.1629432975864324e-16,7.131697818846532e-17
16,7.549438169078681e-16,2.1829371376179413e-16,1.2777591119135105e-16,2.4716077447779328e-16,1.4927082490693892e-16,1.1873254024176713e-16,1.3092022239938693e-16,2.8180438449294034e-16,1.4270523071009578e-16,1.8979726679438645e-16,2.1645053126041733e-16,7.135476903461449e-17
17,7.551095157421834e-16,2.1835971037741422e-16,1.278033894921426e-16,2.4722425869336425e-16,1.493006498825996e-16,1.1876878370673157e-16,1.309657320304269e-16,2.818351176099091e-16,1.427418470907086e-16,1.8988164645657333e-16,2.164531826316182e-16,7.137043033521339e-17
18,7.551463391497093e-16,2.1838605336119847e-16,1.278038841204853e-16,2.4724128281140237e-16,1.4929768939055735e-16,1.1878300571342564e-16,1.3098828734202187e-16,2.818004036446236e-16,1.427455276378072e-16,1.898878200111425e-16,2.164568714457484e-16,7.137391076075002e-17
19,7.55126382258349e-16,2.1836018049044087e-16,1.2780391060696581e-16,2.4724051143443445e-16,1.4929790146399867e-16,1.1876507436233477e-16,1.309576826569908e-16,2.818657811067824e-16,1.4274472969800552e-16,1.898805672371675e-16,2.1646483325746729e-16,7.137202450200893e-17
20,7.551168426544842e-16,2.1838090489514014e-16,1.2778629803820462e-16,2.472910493081835e-16,1.4925870941107663e-16,1.187627197446685e-16,1.3095575343086969e-16,2.818535413805626e-16,1.427428422167915e-16,1.8989815340299984e-16,2.1643220698971832e-16,7.137112285050162e-17
21,7.549998256104264e-16,2.1830734963213604e-16,1.2778046232431236e-16,2.4720906715831895e-16,1.4926744556931892e-16,1.1873075978428379e-16,1.3091095744819025e-16,2.818730127376866e-16,1.427185580129577e-16,1.8982316958068263e-16,2.1645861836885236e-16,7.13600627901834e-17
22,7.546763121387185e-16,2.1819152001259922e-16,1.2773273978934801e-16,2.470784465515434e-16,1.4922013116692086e-16,1.1867213988634474e-16,1.3084121061452486e-16,2.817849057630736e-16,1.4265504139549838e-16,1.8971044794033994e-16,2.1640418092034483e-16,7.132948537695569e-17
23,7.548955373232932e-16,2.1827975795529064e-16,1.277616228314655e-16,2.471801380986456e-16,1.4924378306841224e-16,1.187145292821589e-16,1.308931392161714e-16,2.818337090096835e-16,1.4269931130300663e-16,1.8980148914220818e-16,2.164236170840788e-16,7.135020580947208e-17
24,7.550596393832977e-16,2.18344575016847e-16,1.2778606181207542e-16,2.4723219758885613e-16,1.4927127973840063e-16,1.187522255346257e-16,1.3094335507123025e-16,2.81836879057745e-16,1.4272824857943476e-16,1.8984717534310207e-16,2.1645683542362306e-16,7.136571618829429e-17
25,7.550006786898926e-16,2.1833195559293412e-16,1.2778677589249883e-16,2.4718632865901406e-16,1.4928251762958766e-16,1.187552646496502e-16,1.30952527934793e-16,2.8178606436835445e-16,1.4272352669982171e-16,1.898689895627923e-16,2.1640805382733211e-16,7.136014342040637e-17
26,7.551304543818117e-16,2.1835888359856515e-16,1.27807951763539e-16,2.472233765136308e-16,1.4930811777990772e-16,1.1876945386594826e-16,1.3096520275790642e-16,2.8184934807971525e-16,1.4274353742356584e-16,1.8986936538517177e-16,2.1647727426330298e-16,7.137240938552298e-17
27,7.549130554222329e-16,2.1828014029244212e-16,1.2777148337638081e-16,2.4716588002095415e-16,1.4926264117804755e-16,1.1872069496017232e-16,1.3090120493672593e-16,2.818356949338773e-16,1.4270462396833955e-16,1.898120826574089e-16,2.1642644543763757e-16,7.135186156169597e-17
28,7.551241156584845e-16,2.1836880361220324e-16,1.2779471674360996e-16,2.472666249889928e-16,1.492774985912351e-16,1.1876238035175162e-16,1.3095419607380643e-16,2.818645325625947e-16,1.4274280664022231e-16,1.8988045871573029e-16,2.1645828803690367e-16,7.137181027055726e-17
29,7.5368354877802695e-16,2.1787480246545724e-16,1.2759042278076944e-16,2.4667512068664207e-16,1.4908210741042456e-16,1.1852100678734936e-16,1.3067495391381888e-16,2.8142230577665784e-16,1.4247140308519057e-16,1.8945552607088656e-16,2.1614150560261425e-16,7.123565269865346e-17
30,7.549622883581266e-16,2.183277618202671e-16,1.277758464110153e-16,2.471861895568127e-16,1.492651242391679e-16,1.1874989000363732e-16,1.3094755950053167e-16,2.8176376432776787e-16,1.42715697505587e-16,1.8986252959735137e-16,2.1639032636327958e-16,7.135651489442207e-17
31,7.548691499082194e-16,2.1833076269746276e-16,1.2773741026593394e-16,2.4723184872202215e-16,1.491938237643967e-16,1.187316694951541e-16,1.3092696957592193e-16,2.8172549159774307e-16,1.426974489458133e-16,1.898618949498193e-16,2.1632767073862793e-16,7.134771175909926e-17
32,7.549221977211097e-16,2.1826860810785445e-16,1.2777191483756159e-16,2.4718151042814566e-16,1.4925988705217696e-16,1.1870868026259264e-16,1.3087906261684962e-16,2.8189600070639327e-16,1.4270652346722094e-16,1.8980292625426504e-16,2.1644664844886118e-16,7.135272566126231e-17
