Index,N_r,Time (s)
0,1,1028188.1433136463
1,2,253064.16885256767
2,3,90883.97266626358
3,4,51271.30999970436
4,5,34126.97239327431
5,20,3074.8042924404144
6,100,756.8658602237701
7,250,667.4286208152771
8,500,639.1568796634674
9,1000,629.5384497642517
10,2000,626.2670292854309
11,5000,627.250994682312
12,10000,628.6023156642914
13,50000,639.6168127059937
