Index,day,para,std
0,92.968478586663,1.0114409777235014e-15,8.4925123530631e-14
1,93.93106059954457,-7.214199092488631e-16,4.077477384970746e-14
2,94.89374254458095,-1.5276700929999148e-15,2.217946068824079e-14
3,95.85641090881418,-3.7912083199527923e-16,3.004409798797886e-14
4,96.81912940236279,9.387784547566732e-16,6.167318223688757e-14
5,97.78206005947615,-1.4486307384163604e-15,2.0881123989590937e-14
6,98.74499766921791,3.3009924157855496e-16,1.1322195302081607e-13
7,99.70792674487181,1.7558697757384416e-15,1.1049925324289948e-13
8,100.67083902630414,8.86828271881296e-16,4.515997446118088e-14
9,101.63373208251521,-8.931947017262657e-16,3.4841005191399695e-14
10,102.59662409289153,-5.738917480844671e-16,2.772532273687397e-14
11,103.55956280677829,1.3746778641889509e-15,4.856992424398021e-14
12,104.52244123561589,5.503816056441491e-15,4.2566959519616e-14
13,105.48531688621242,9.781307847713517e-16,7.019653566182093e-14
14,106.44820467343254,-1.3132321549528244e-15,3.9929624365263985e-14
15,107.41107505454985,-2.473780870184657e-15,3.822483826309153e-14
16,108.37392227006907,-1.2571359902587642e-15,6.683842878643841e-14
17,109.33685595166973,9.587612353873335e-16,2.5090748958050423e-14
18,110.2998495493992,-8.925430807072315e-16,3.1833398373940064e-14
19,111.26282369314563,-1.3045488686588805e-16,2.8908204577322264e-14
20,112.22573101747345,8.108243843848209e-16,3.472146908004876e-14
21,113.1886834334439,2.8125609686111323e-17,3.9628848908134904e-14
22,114.15161595484962,-8.194280393848902e-16,5.170556535125e-14
23,115.11448919300439,-3.347295136893503e-15,3.3028051997711296e-14
24,116.07734649227864,2.1738930502479577e-17,5.234962237312273e-14
25,117.0402329942763,-2.2635988837676744e-15,8.288393976787517e-14
26,118.00311749671583,-1.7137392807086139e-15,2.0380616059232764e-14
27,118.96607309121453,-1.4108824691761944e-15,6.175213310293e-14
28,119.92912966272803,3.4629112948218116e-15,5.325163402200586e-14
29,120.89236809526876,-2.9113502602285667e-15,2.192223937334778e-14
30,121.8553655617755,-9.998284640211366e-16,1.9726987987521036e-14
31,122.81829681627711,1.4282783132928478e-14,2.7263018499480095e-13
32,123.78120562291171,-5.664203982549785e-16,6.467779771542877e-14
33,124.74408028435013,-1.0738657662674017e-15,1.9197412840580584e-14
34,125.70692029942307,2.7048120544209937e-15,2.9503014966738684e-14
35,126.66981995409891,-8.05606329352208e-15,1.0128635049273176e-13
36,127.63272558947989,-2.3746905180841304e-15,3.0063294105097995e-14
37,128.59562717067277,1.4517280700151528e-15,3.8879488285497816e-14
38,129.55851072802696,1.9397399269199942e-15,3.448379472421196e-14
39,130.52140604921144,-4.644263700966145e-16,2.5924431887438228e-14
40,131.4842927260574,-1.731153678461345e-16,2.1719022849419975e-14
41,132.4472107802629,-7.0282027104433775e-16,2.0633790585643118e-14
42,133.41034473121059,-3.744030043900705e-15,5.0995030555618795e-14
43,134.37333148492107,-6.053549775489081e-16,3.078929477924712e-14
44,135.33622194750467,-1.7567864624379198e-16,3.741341237043222e-14
45,136.29910155141638,1.1210552218899137e-15,3.999120393532544e-14
46,137.2619872463091,-3.3195656374973715e-15,1.3178961383007057e-13
47,138.22488000170512,1.702304530079135e-15,4.5170398576701526e-14
48,139.1877729679899,-4.284896263974184e-15,8.966687041205957e-14
49,140.15064393447622,-2.868118849774769e-16,1.3246114928185754e-13
50,141.11356399518408,-4.3656499653307596e-16,3.549563350009482e-14
51,142.07645760678759,-6.865131341230181e-17,2.1047043906716647e-14
52,143.03935460698685,2.089347574754826e-15,2.5508055714848984e-14
53,144.00229394384533,-1.2930701125663423e-15,2.101706998072246e-14
54,144.9652304990831,2.2946145495752497e-15,2.184653198830913e-14
55,145.92810582807414,1.8438664949204485e-15,2.7971363841316852e-14
56,146.890996838715,-2.3933725906748228e-15,2.4588997068631956e-14
57,147.85400099054834,-2.064470458977085e-15,3.861014526055391e-14
58,148.8169591056912,-7.061223992404779e-16,2.1724139699576164e-14
59,149.77991970731216,4.7099501883513e-15,3.792025731720459e-14
60,150.7428271539162,-9.101203759936847e-16,4.455298260771229e-14
61,151.70571961522205,4.3410364402905716e-16,3.475854813001011e-14
62,152.66859538465377,1.0334257046543573e-15,2.4476894544293376e-14
63,153.63150337221163,5.639763220518323e-17,4.65696800874373e-14
64,154.59443301434106,4.607739737521742e-16,6.823806865273263e-14
